"","xma","yma","label","powr","perc","xmb","ymb"
"7863",344500,224500,"7863_7880",4.79543119075307e-09,29.1437756272277,363500,213500
"7863.1",344500,224500,"7863_7921",4.21310178201281e-09,25.6047241938159,355500,199500
"7863.2",344500,224500,"7863_7922",1.23763369404062e-09,7.52160071806859,356500,199500
"7863.3",344500,224500,"7863_7926",1.00591288315145e-09,6.11333959366017,355500,198500
"7860",331500,225500,"7860_7921",6.00064727619011e-10,3.64683614213128,355500,199500
"7921",355500,199500,"7921_7981",4.71705513185718e-10,2.86674526055539,362500,173500
"7926",355500,198500,"7926_7981",3.40837254215212e-10,2.0714059001415,362500,173500
"7863.4",344500,224500,"7863_7927",2.73750155861719e-10,1.66369045931398,356500,198500
"7857",330500,226500,"7857_7921",2.4673856153282e-10,1.49953007140702,355500,199500
"7854",330500,227500,"7854_7921",2.3520787788152e-10,1.42945344142429,355500,199500
"7921.1",355500,199500,"7921_7982",2.12644260070212e-10,1.29232520651201,363500,173500
"7922",356500,199500,"7922_7981",2.04341976664973e-10,1.2418688710687,362500,173500
"7860.1",331500,225500,"7860_7926",1.58993131657908e-10,0.966265591349392,355500,198500
"7859",330500,225500,"7859_7921",1.58721495993847e-10,0.964614751512296,355500,199500
"7848",338500,229500,"7848_7921",1.55315619903462e-10,0.94391586445836,355500,199500
"7926.1",355500,198500,"7926_7982",1.52731445711308e-10,0.928210792309058,363500,173500
"7860.2",331500,225500,"7860_7922",1.50572013242979e-10,0.915087047470324,356500,199500
"7921.2",355500,199500,"7921_7988",1.47179310737533e-10,0.894468221622235,362500,172500
"7927",356500,198500,"7927_7981",1.3643905434834e-10,0.829195337926371,362500,173500
